Customer ID,Invoice Date,Invoice Amount,Due Date,Payment Date,Payment Amount,Payment Terms,Invoice Status
CUST053,2023-08-10 20:28:43,7774.61,2023-02-01 19:11:25,,8776.51,Net 60,Outstanding
CUST008,2023-09-15 21:15:38,9840.78,2023-07-07 18:46:06,2023-08-07 23:03:40,9840.78,Net 60,Paid
CUST072,2023-06-16 00:32:31,3585.99,2023-12-21 18:00:26,2023-05-12 16:51:40,4189.02,Net 30,Outstanding
CUST003,2023-07-25 17:05:46,8790.69,2023-08-12 17:20:21,2023-08-27 23:34:27,8790.69,Net 90,Paid
CUST094,2023-06-05 06:35:14,5127.11,2023-03-16 19:11:06,2023-05-02 04:23:12,6579.8,Net 60,Outstanding
CUST029,2023-02-08 10:59:59,3427.12,2023-07-21 05:22:56,2023-08-10 02:35:55,3427.12,Net 30,Paid
CUST069,2023-06-24 00:08:38,7592.42,2023-11-21 23:07:04,,2097.35,Net 90,Outstanding
CUST082,2023-09-09 12:22:19,1080.23,2023-08-17 23:20:54,2023-09-18 21:02:16,3007.29,Net 90,Outstanding
CUST100,2023-07-14 02:07:22,8961.35,2023-03-26 14:57:35,,8961.35,Net 60,Paid
CUST085,2023-02-24 21:26:36,4803.46,2023-01-05 12:59:39,,4803.46,Net 60,Paid
CUST018,2023-12-18 18:13:51,5882.51,2023-10-19 10:12:28,2023-07-23 13:36:57,5957.12,Net 30,Outstanding
CUST072,2023-02-12 14:02:20,8024.75,2023-05-15 12:35:36,2023-08-09 15:39:08,8024.75,Net 90,Paid
CUST092,2023-09-29 22:39:39,3176.74,2023-06-04 00:42:13,2023-03-10 13:37:26,4166.73,Net 30,Outstanding
CUST066,2023-10-02 14:02:36,8776.15,2023-09-06 03:07:51,2023-08-08 03:48:21,8776.15,Net 60,Paid
CUST066,2023-04-02 11:28:18,6315.33,2023-03-16 07:42:03,2023-10-20 17:39:42,1317.36,Net 90,Outstanding
CUST004,2023-05-22 06:06:13,6136.88,2023-02-28 20:37:09,2023-04-08 15:53:46,6136.88,Net 30,Paid
CUST036,2023-11-28 22:30:08,2930.93,2023-03-16 23:30:59,2023-03-16 20:35:46,2930.93,Net 90,Paid
CUST051,2023-07-15 14:10:36,4710.37,2023-12-28 10:52:38,2023-01-14 04:49:05,5246.65,Net 60,Outstanding
CUST019,2023-06-27 15:06:40,3310.12,2023-03-04 12:40:50,2023-06-30 07:17:48,3310.12,Net 60,Paid
CUST066,2023-11-05 00:36:47,881.65,2023-02-21 22:13:15,,930.34,Net 30,Outstanding
CUST009,2023-04-10 03:17:00,6588.91,2023-08-09 10:39:43,2023-09-28 11:08:59,5304.68,Net 90,Outstanding
CUST042,2023-05-19 21:18:07,1871.05,2023-06-22 15:34:57,,1871.05,Net 30,Paid
CUST073,2023-04-27 10:41:54,7160.35,2023-01-08 23:23:39,2023-05-19 11:43:29,8765.22,Net 30,Outstanding
CUST049,2023-04-10 01:21:55,1509.96,2023-03-08 15:10:28,2023-12-02 18:38:42,1509.96,Net 30,Paid
CUST007,2023-05-17 08:15:52,7482.61,2023-05-15 06:01:00,2023-08-20 18:30:09,7482.61,Net 90,Paid
CUST073,2023-09-01 04:50:22,6495.98,2023-09-06 20:38:54,2023-02-10 15:32:37,6495.98,Net 60,Paid
CUST032,2023-03-30 14:38:34,2297.57,2023-06-28 23:06:09,2023-01-06 21:43:05,6244.93,Net 30,Outstanding
CUST019,2023-06-22 21:20:16,4287.76,2023-09-04 17:04:32,2023-10-06 21:40:37,818.21,Net 60,Outstanding
CUST071,2023-07-21 20:43:43,8535.23,2023-12-14 14:25:57,2023-11-06 02:22:59,3662.29,Net 60,Outstanding
CUST027,2023-08-02 18:43:38,4447.12,2023-11-27 12:19:32,2023-06-03 23:17:51,9221.9,Net 90,Outstanding
CUST066,2023-08-15 15:16:09,3467.41,2023-12-25 17:34:45,2023-07-26 03:05:37,3467.41,Net 30,Paid
CUST007,2023-06-26 20:35:15,7496.24,2023-10-12 13:37:33,2023-01-03 13:34:15,7496.24,Net 60,Paid
CUST067,2023-08-13 07:52:58,1123.82,2023-06-17 06:52:49,,9192.81,Net 30,Outstanding
CUST091,2023-01-23 06:03:38,1564.03,2023-07-31 23:50:47,2023-11-08 05:25:58,1564.03,Net 90,Paid
CUST060,2023-08-27 02:09:23,4887.29,2023-03-24 06:13:01,2023-01-11 04:41:03,4887.29,Net 30,Paid
CUST051,2023-08-23 08:37:54,7496.67,2023-08-25 20:37:04,2023-11-17 03:37:00,2954.61,Net 30,Outstanding
CUST005,2023-04-30 14:49:43,9979.94,2023-04-05 19:18:43,2023-06-24 05:00:53,9979.94,Net 90,Paid
CUST050,2023-08-28 11:57:50,1312.38,2023-08-10 07:49:58,2023-08-24 11:03:20,5816.34,Net 30,Outstanding
CUST015,2023-09-21 14:25:48,1621.73,2023-01-31 06:42:02,2023-09-15 13:10:27,9095.53,Net 60,Outstanding
CUST040,2023-08-01 19:45:29,7821.64,2023-08-19 11:41:51,,4735.68,Net 30,Outstanding
CUST092,2023-05-18 00:50:04,5221.07,2023-09-17 04:33:01,2023-08-20 19:25:31,5681.95,Net 90,Outstanding
CUST025,2023-01-11 17:14:24,4923.67,2023-02-06 12:12:08,2023-06-10 03:14:19,4923.67,Net 30,Paid
CUST088,2023-11-07 17:40:46,5143.43,2023-08-10 22:09:08,2023-08-29 06:24:06,5143.43,Net 90,Paid
CUST089,2023-11-25 10:09:36,9932.24,2023-02-14 03:33:38,2023-10-06 14:12:42,1101.31,Net 60,Outstanding
CUST058,2023-08-17 03:52:26,3279.79,2023-09-08 05:44:04,,9359.52,Net 90,Outstanding
CUST057,2023-08-23 11:02:48,2444.98,2023-04-24 03:12:10,2023-08-19 14:33:07,6961.79,Net 90,Outstanding
CUST003,2023-12-11 05:11:06,6243.08,2023-01-01 08:36:14,2023-06-08 00:27:51,7170.6,Net 60,Outstanding
CUST021,2023-04-02 00:10:16,8895.41,2023-07-09 01:14:47,2023-10-16 23:49:10,8895.41,Net 60,Paid
CUST057,2023-07-05 07:16:38,8993.05,2023-08-24 11:18:54,2023-02-09 10:42:22,6135.19,Net 60,Outstanding
CUST004,2023-05-31 00:36:58,9815.99,2023-03-17 11:29:53,,1413.55,Net 60,Outstanding
CUST009,2023-10-21 22:37:57,4786.55,2023-10-26 00:54:47,,4786.55,Net 30,Paid
CUST083,2023-06-18 09:18:30,2471.7,2023-08-21 00:04:40,2023-10-06 21:27:28,2471.7,Net 30,Paid
CUST088,2023-05-10 01:53:27,4408.85,2023-11-29 23:32:12,,1828.98,Net 60,Outstanding
CUST039,2023-07-28 00:44:57,1471.39,2023-12-27 04:41:22,2023-03-29 06:45:24,1471.39,Net 30,Paid
CUST057,2023-04-01 02:51:14,9806.06,2023-09-04 03:10:38,,9806.06,Net 30,Paid
CUST014,2023-09-06 09:01:53,2231.62,2023-11-25 00:01:24,2023-03-07 21:23:21,2231.62,Net 90,Paid
CUST009,2023-07-13 20:08:41,9022.01,2023-07-02 05:15:48,2023-05-14 04:12:16,9022.01,Net 90,Paid
CUST065,2023-03-10 15:41:52,9602.76,2023-11-20 12:18:52,,3129.2,Net 30,Outstanding
CUST083,2023-04-10 06:11:53,659.45,2023-03-21 03:06:34,2023-08-16 07:14:36,659.45,Net 30,Paid
CUST007,2023-03-13 13:16:14,2490.83,2023-11-16 00:06:47,2023-12-19 05:34:00,7604.35,Net 30,Outstanding
CUST076,2023-04-29 13:29:05,5084.26,2023-10-20 17:00:23,2023-06-02 09:04:45,7604.76,Net 90,Outstanding
CUST085,2023-06-22 11:18:46,7965.46,2023-07-02 07:55:34,2023-01-13 19:02:53,7965.46,Net 90,Paid
CUST023,2023-09-15 02:41:16,5615.09,2023-11-23 06:02:33,,3032.69,Net 90,Outstanding
CUST032,2023-11-21 11:58:27,7891.82,2023-05-08 15:04:06,2023-01-08 02:30:12,7891.82,Net 30,Paid
CUST027,2023-07-23 13:57:49,8005.33,2023-09-30 17:56:02,,6248.0,Net 90,Outstanding
CUST012,2023-03-20 01:11:23,6675.09,2023-05-14 13:10:16,2023-07-25 13:38:27,6675.09,Net 90,Paid
CUST010,2023-09-01 22:54:21,6054.01,2023-04-25 17:19:03,,6054.01,Net 60,Paid
CUST064,2023-10-25 09:53:58,4401.98,2023-08-26 12:15:47,,4401.98,Net 60,Paid
CUST012,2023-10-30 10:47:55,1202.06,2023-06-18 02:02:12,2023-03-22 18:59:23,9498.81,Net 60,Outstanding
CUST050,2023-07-23 18:31:52,6650.1,2023-11-07 16:16:17,2023-07-07 08:44:06,5629.28,Net 90,Outstanding
CUST030,2023-12-26 00:26:06,7635.7,2023-06-20 04:30:46,2023-10-17 20:55:01,7635.7,Net 30,Paid
CUST071,2023-07-27 19:52:28,5496.73,2023-10-26 06:48:29,,5496.73,Net 90,Paid
CUST077,2023-03-13 19:06:14,9346.13,2023-08-06 23:43:21,2023-05-07 14:02:16,4998.84,Net 60,Outstanding
CUST066,2023-11-18 01:52:02,1505.55,2023-08-29 18:23:49,2023-10-06 10:50:22,9295.94,Net 90,Outstanding
CUST040,2023-03-26 16:51:35,669.18,2023-10-14 01:51:33,2023-10-18 19:10:53,3967.16,Net 90,Outstanding
CUST067,2023-12-17 10:59:51,9253.62,2023-01-30 04:10:55,2023-07-15 21:24:58,4291.97,Net 90,Outstanding
CUST023,2023-01-19 15:39:47,516.46,2023-07-30 08:37:01,2023-12-16 04:06:27,516.46,Net 60,Paid
CUST085,2023-12-05 00:15:09,8870.81,2023-08-30 05:33:20,2023-08-14 15:10:56,8870.81,Net 30,Paid
CUST059,2023-03-16 00:12:35,8012.23,2023-11-16 00:36:36,2023-12-04 13:11:28,4642.72,Net 90,Outstanding
CUST084,2023-04-11 07:27:54,6319.08,2023-05-13 16:01:19,2023-02-21 04:00:22,6319.08,Net 60,Paid
CUST017,2023-05-21 10:43:25,3798.53,2023-05-21 06:18:32,2023-08-25 20:10:52,3798.53,Net 90,Paid
CUST088,2023-09-05 07:10:09,2512.52,2023-05-09 23:45:58,2023-03-13 03:35:04,3023.15,Net 30,Outstanding
CUST015,2023-03-11 12:37:11,2022.86,2023-10-11 07:33:23,2023-11-09 19:20:18,8012.26,Net 30,Outstanding
CUST089,2023-04-28 03:34:00,8098.34,2023-10-26 03:23:35,2023-04-10 13:13:24,3409.98,Net 60,Outstanding
CUST096,2023-02-02 14:29:12,6751.59,2023-05-11 17:02:36,2023-04-10 11:27:35,6751.59,Net 60,Paid
CUST036,2023-04-12 13:22:58,6257.45,2023-11-20 10:54:40,,6257.45,Net 30,Paid
CUST042,2023-02-06 22:32:46,646.72,2023-06-03 07:33:26,,4046.71,Net 30,Outstanding
CUST096,2023-11-10 22:16:11,2740.16,2023-09-06 16:31:04,2023-02-23 23:37:26,2740.16,Net 90,Paid
CUST055,2023-09-24 14:32:58,5086.18,2023-09-18 00:54:02,2023-06-02 18:39:54,4829.24,Net 30,Outstanding
CUST094,2023-06-01 14:33:35,5624.25,2023-04-28 19:54:53,2023-01-19 21:21:37,9102.14,Net 90,Outstanding
CUST031,2023-03-29 07:03:38,8045.04,2023-10-11 05:13:11,2023-05-25 08:46:44,6309.79,Net 90,Outstanding
CUST050,2023-09-14 06:27:43,4732.5,2023-06-19 09:18:01,2023-01-04 13:33:37,4601.39,Net 60,Outstanding
CUST017,2023-10-28 06:46:52,2252.69,2023-03-06 12:19:53,2023-09-30 18:34:32,6862.42,Net 30,Outstanding
CUST045,2023-05-02 07:18:53,588.82,2023-01-28 00:26:41,2023-09-15 18:18:22,588.82,Net 90,Paid
CUST081,2023-12-30 17:33:00,7286.0,2023-01-07 09:44:16,2023-03-19 17:50:26,1894.4,Net 90,Outstanding
CUST100,2023-11-20 18:43:47,4360.33,2023-07-04 21:48:19,2023-10-05 10:20:35,1707.55,Net 30,Outstanding
CUST050,2023-09-09 18:40:20,6498.29,2023-10-07 04:59:28,2023-06-02 10:54:24,8747.51,Net 60,Outstanding
CUST075,2023-04-04 22:33:34,2377.29,2023-01-17 19:51:47,2023-04-16 11:44:26,2213.01,Net 90,Outstanding
CUST025,2023-09-17 03:30:43,1933.92,2023-02-26 22:24:25,2023-04-19 17:01:14,1886.46,Net 60,Outstanding
CUST001,2023-01-19 03:13:53,1223.1,2023-09-16 23:10:00,2023-11-15 22:11:25,1223.1,Net 60,Paid
CUST013,2023-06-29 03:39:26,4096.73,2023-08-18 21:42:43,2023-05-31 08:53:46,4096.73,Net 90,Paid
CUST043,2023-09-14 20:44:46,4041.28,2023-11-11 00:20:44,2023-03-06 03:54:56,7197.95,Net 60,Outstanding
CUST028,2023-09-12 17:54:08,4249.58,2023-01-11 07:09:55,2023-06-23 11:32:02,4867.78,Net 60,Outstanding
CUST046,2023-09-06 13:39:00,1305.81,2023-12-20 19:02:13,2023-12-07 18:58:07,7613.66,Net 90,Outstanding
CUST068,2023-05-26 15:09:20,3101.71,2023-04-22 20:58:48,2023-06-18 03:42:45,3101.71,Net 90,Paid
CUST016,2023-02-13 13:03:13,1998.24,2023-04-25 23:41:31,2023-06-12 13:46:56,6777.58,Net 90,Outstanding
CUST003,2023-04-28 05:58:01,8058.68,2023-09-04 07:44:09,2023-06-27 04:55:42,8093.09,Net 30,Outstanding
CUST062,2023-11-18 10:27:54,4201.25,2023-06-11 20:16:32,,4201.25,Net 30,Paid
CUST015,2023-11-20 21:59:51,906.51,2023-07-13 01:36:54,2023-01-23 08:09:50,5695.93,Net 90,Outstanding
CUST001,2023-08-10 03:38:28,4588.22,2023-09-10 02:08:20,,4588.22,Net 30,Paid
CUST086,2023-08-18 17:07:05,9635.91,2023-01-15 18:13:25,2023-04-14 05:19:02,9396.91,Net 90,Outstanding
CUST027,2023-07-24 08:09:24,3582.3,2023-01-27 00:12:01,2023-05-26 01:10:50,5225.08,Net 90,Outstanding
CUST079,2023-09-11 04:17:06,586.3,2023-07-19 22:43:21,2023-01-24 01:12:20,586.3,Net 60,Paid
CUST038,2023-08-17 08:05:56,7087.01,2023-04-26 12:38:49,2023-08-09 22:21:56,6720.51,Net 30,Outstanding
CUST019,2023-09-27 23:30:56,5148.35,2023-08-23 21:08:36,2023-03-30 02:16:51,5148.35,Net 60,Paid
CUST037,2023-01-09 10:59:34,7258.83,2023-01-18 11:01:02,2023-12-05 18:25:39,7258.83,Net 60,Paid
CUST003,2023-01-18 23:50:58,4223.66,2023-11-10 12:04:48,,8244.69,Net 30,Outstanding
CUST013,2023-03-23 08:01:45,5596.0,2023-08-19 00:33:53,2023-05-10 16:06:21,5596.0,Net 90,Paid
CUST098,2023-11-16 15:47:26,4526.42,2023-03-23 02:09:46,2023-07-21 04:36:39,636.73,Net 30,Outstanding
CUST051,2023-09-18 15:00:20,5660.21,2023-09-14 20:40:41,2023-05-01 16:23:34,5660.21,Net 90,Paid
CUST007,2023-11-28 23:37:24,5082.38,2023-01-02 06:30:29,,5082.38,Net 60,Paid
CUST037,2023-03-22 23:23:12,4092.57,2023-12-12 12:07:23,2023-09-26 17:50:50,4092.57,Net 60,Paid
CUST067,2023-10-26 01:45:54,6262.04,2023-01-31 03:14:57,2023-01-27 21:11:58,3603.63,Net 30,Outstanding
CUST031,2023-02-14 18:27:01,7219.33,2023-03-04 13:50:53,2023-01-07 16:37:26,7219.33,Net 30,Paid
CUST003,2023-10-05 00:09:22,4958.11,2023-11-10 02:56:18,2023-05-04 12:18:05,4958.11,Net 30,Paid
CUST067,2023-10-16 21:33:09,2255.86,2023-03-15 08:31:13,2023-04-07 13:14:17,2255.86,Net 30,Paid
CUST096,2023-03-16 07:20:34,8776.06,2023-10-06 19:29:50,2023-03-19 04:50:52,9074.82,Net 30,Outstanding
CUST091,2023-07-07 19:19:24,7478.78,2023-11-25 15:54:22,2023-08-04 05:19:56,7478.78,Net 30,Paid
CUST002,2023-03-20 10:16:17,3060.39,2023-05-23 04:07:55,2023-01-08 00:56:00,7023.26,Net 30,Outstanding
CUST040,2023-02-25 20:45:56,9998.0,2023-01-11 04:54:36,,2718.33,Net 90,Outstanding
CUST024,2023-05-01 20:29:19,5546.86,2023-06-15 07:02:51,,5546.86,Net 30,Paid
CUST043,2023-09-05 13:11:46,9223.05,2023-12-07 05:05:38,2023-03-28 13:15:16,8158.9,Net 60,Outstanding
CUST028,2023-02-18 08:28:13,1528.12,2023-06-04 23:31:54,2023-08-10 02:37:30,3552.26,Net 60,Outstanding
CUST091,2023-07-16 12:54:32,6428.02,2023-12-01 10:02:03,2023-10-07 15:51:44,8887.11,Net 60,Outstanding
CUST039,2023-11-16 11:38:33,5152.68,2023-09-14 18:47:49,2023-11-23 11:53:12,8851.54,Net 60,Outstanding
CUST042,2023-04-25 07:23:33,2598.05,2023-08-11 12:19:04,2023-10-12 14:31:37,2598.05,Net 90,Paid
CUST051,2023-10-13 05:58:43,3724.92,2023-05-24 11:09:45,2023-12-30 21:59:24,3724.92,Net 30,Paid
CUST044,2023-12-11 11:24:07,1149.0,2023-09-29 16:08:30,2023-09-10 09:54:40,2521.71,Net 30,Outstanding
CUST070,2023-02-15 14:04:40,6111.06,2023-04-21 02:47:20,,6111.06,Net 90,Paid
CUST095,2023-06-23 14:39:08,2552.26,2023-12-12 22:55:15,,5318.52,Net 30,Outstanding
CUST023,2023-04-08 08:36:24,6631.24,2023-10-01 19:45:55,2023-04-30 03:05:34,6631.24,Net 30,Paid
CUST018,2023-06-20 00:18:49,3688.39,2023-11-14 11:03:41,2023-08-28 05:11:12,3688.39,Net 90,Paid
CUST006,2023-04-11 00:28:30,5015.6,2023-08-06 04:48:55,2023-05-13 06:38:43,4345.41,Net 60,Outstanding
CUST038,2023-04-27 04:56:59,8701.16,2023-07-02 12:22:01,2023-02-18 10:24:04,6180.12,Net 90,Outstanding
CUST092,2023-08-29 06:15:04,4328.25,2023-01-28 21:37:16,2023-02-27 16:45:35,9363.43,Net 90,Outstanding
CUST062,2023-07-14 00:35:08,5118.42,2023-07-12 01:55:12,2023-01-08 17:20:24,5118.42,Net 30,Paid
CUST020,2023-10-11 22:27:57,2091.64,2023-12-13 10:14:23,2023-11-16 19:25:01,2091.64,Net 30,Paid
CUST015,2023-12-01 02:44:12,3868.03,2023-12-16 16:15:31,2023-04-05 22:15:16,8949.93,Net 60,Outstanding
CUST024,2023-05-21 04:23:36,6224.73,2023-01-25 08:29:46,2023-03-31 23:25:23,4214.7,Net 90,Outstanding
CUST078,2023-02-27 17:09:25,5154.38,2023-01-09 05:02:44,2023-01-31 10:14:07,5154.38,Net 60,Paid
CUST021,2023-04-24 06:05:01,3046.69,2023-12-05 06:09:30,2023-09-11 11:44:14,2765.91,Net 30,Outstanding
CUST053,2023-07-19 14:27:54,8252.1,2023-02-06 12:26:34,,8252.1,Net 90,Paid
CUST031,2023-06-20 03:59:07,3128.05,2023-07-29 06:09:58,2023-03-25 19:20:02,3128.05,Net 30,Paid
CUST038,2023-08-04 00:41:48,1316.01,2023-10-29 14:19:40,2023-08-27 17:41:15,9511.51,Net 90,Outstanding
CUST052,2023-07-28 12:28:10,8821.18,2023-04-17 23:36:57,2023-03-09 14:28:10,5136.0,Net 90,Outstanding
CUST020,2023-09-25 09:16:51,9985.24,2023-06-16 04:15:47,,888.8,Net 60,Outstanding
CUST038,2023-10-08 08:29:01,5026.53,2023-07-15 21:17:11,,5026.53,Net 60,Paid
CUST091,2023-03-27 05:17:22,8471.38,2023-03-11 01:20:58,2023-03-02 04:11:41,9021.46,Net 30,Outstanding
CUST071,2023-02-12 09:09:20,4509.47,2023-02-09 22:23:18,,9366.21,Net 90,Outstanding
CUST090,2023-07-01 12:04:04,7223.92,2023-07-13 08:03:55,,597.84,Net 90,Outstanding
CUST011,2023-07-22 05:12:44,4017.0,2023-02-25 05:52:24,2023-05-25 02:32:13,4017.0,Net 60,Paid
CUST040,2023-01-17 01:05:30,1997.8,2023-11-02 07:46:55,,1997.8,Net 60,Paid
CUST030,2023-06-25 21:13:30,5744.27,2023-02-19 00:24:30,2023-07-21 15:22:59,1148.25,Net 30,Outstanding
CUST092,2023-07-25 00:29:54,5262.38,2023-02-03 01:59:38,,8510.79,Net 30,Outstanding
CUST013,2023-06-01 08:36:19,7012.11,2023-07-08 01:43:46,2023-09-24 09:57:17,4454.06,Net 30,Outstanding
CUST025,2023-04-15 15:46:10,8360.15,2023-02-08 14:17:24,2023-12-27 01:42:29,8360.15,Net 60,Paid
CUST088,2023-05-10 08:20:30,7901.56,2023-02-13 21:41:48,2023-07-07 00:03:28,7901.56,Net 60,Paid
CUST004,2023-05-10 03:38:46,2643.29,2023-11-03 11:54:22,2023-01-19 11:20:59,2643.29,Net 30,Paid
CUST071,2023-10-04 05:13:05,1998.8,2023-01-13 18:35:29,2023-06-07 01:01:50,1998.8,Net 90,Paid
CUST082,2023-11-17 07:24:50,8816.73,2023-12-02 22:56:21,2023-08-13 06:20:33,8816.73,Net 30,Paid
CUST001,2023-11-12 09:07:58,721.57,2023-06-29 08:45:33,2023-10-26 00:14:51,721.57,Net 60,Paid
CUST048,2023-04-02 00:55:22,928.89,2023-03-03 17:41:53,,928.89,Net 30,Paid
CUST067,2023-04-25 10:35:39,7396.2,2023-04-13 00:09:34,2023-03-19 02:39:22,7396.2,Net 60,Paid
CUST003,2023-05-22 22:07:47,6910.54,2023-07-20 08:13:01,2023-07-09 15:28:08,8157.6,Net 60,Outstanding
CUST054,2023-02-27 08:23:03,2830.97,2023-02-20 04:56:52,2023-12-20 19:10:02,6190.71,Net 30,Outstanding
CUST072,2023-12-30 22:35:27,5915.72,2023-12-25 00:21:01,2023-06-13 17:27:48,5915.72,Net 30,Paid
CUST099,2023-11-10 21:02:27,5699.14,2023-03-12 12:25:29,2023-07-25 19:15:45,5699.14,Net 60,Paid
CUST014,2023-11-14 04:51:46,9016.29,2023-09-11 10:14:31,2023-01-28 23:10:35,5464.95,Net 60,Outstanding
CUST036,2023-11-27 00:02:41,5093.81,2023-10-08 23:52:41,2023-11-10 22:38:38,5093.81,Net 90,Paid
CUST072,2023-01-13 21:29:36,2223.69,2023-09-20 14:23:39,2023-06-23 23:48:50,2223.69,Net 90,Paid
CUST010,2023-07-09 03:41:01,1503.83,2023-09-25 19:33:38,2023-01-30 05:16:10,8132.94,Net 90,Outstanding
CUST055,2023-01-27 03:35:12,4999.0,2023-01-22 07:27:49,2023-02-07 05:21:55,4999.0,Net 60,Paid
CUST052,2023-12-18 18:49:50,6877.58,2023-03-06 06:12:37,2023-06-30 20:51:49,6877.58,Net 60,Paid
CUST091,2023-02-14 14:04:21,3086.84,2023-07-06 18:12:57,2023-10-04 03:51:13,3086.84,Net 30,Paid
CUST032,2023-08-26 09:02:59,1987.56,2023-06-11 12:30:35,2023-12-05 07:27:44,5492.54,Net 30,Outstanding
CUST088,2023-08-18 14:16:01,5504.64,2023-12-24 06:19:03,,684.97,Net 90,Outstanding
CUST003,2023-12-16 03:36:18,2810.4,2023-01-15 22:23:19,2023-07-04 23:45:16,6356.35,Net 60,Outstanding
CUST059,2023-07-16 20:18:34,2756.67,2023-12-14 14:08:28,,8654.48,Net 30,Outstanding
CUST057,2023-10-27 19:35:00,1572.34,2023-12-15 14:22:23,2023-06-26 07:18:33,4570.81,Net 60,Outstanding
CUST013,2023-03-08 03:12:39,2197.74,2023-02-23 19:54:21,2023-04-21 13:24:22,2400.75,Net 90,Outstanding
CUST005,2023-12-01 05:58:59,2000.24,2023-06-11 02:10:03,,2000.24,Net 90,Paid
CUST054,2023-12-13 02:34:43,5780.99,2023-06-26 20:11:17,2023-02-22 00:22:20,5780.99,Net 60,Paid
CUST097,2023-11-18 17:43:04,5581.26,2023-03-13 15:53:44,2023-03-19 23:24:32,4461.88,Net 90,Outstanding
CUST011,2023-03-01 13:32:22,2045.95,2023-07-08 01:31:17,2023-10-19 02:12:15,2045.95,Net 90,Paid
CUST058,2023-08-09 10:04:16,7454.65,2023-11-09 16:54:52,,867.99,Net 30,Outstanding
CUST042,2023-07-08 10:47:14,9368.83,2023-07-29 10:24:49,2023-02-09 01:39:32,8196.15,Net 60,Outstanding
CUST060,2023-11-28 18:09:30,9932.23,2023-12-25 02:39:09,2023-08-22 06:06:09,1058.21,Net 60,Outstanding
CUST032,2023-10-28 15:32:27,9947.83,2023-04-20 22:19:17,2023-01-18 09:37:30,2403.3,Net 30,Outstanding
CUST069,2023-01-26 00:25:12,7709.24,2023-10-09 19:47:38,2023-06-04 10:01:55,7709.24,Net 30,Paid
