Customer ID,Invoice Date,Invoice Amount,Due Date,Payment Date,Payment Amount,Payment Terms,Invoice Status
CUST077,2023-12-07 23:51:24,6739.33,2023-05-28 19:46:58,2023-08-12 21:05:16,8243.84,Net 60,Outstanding
CUST047,2023-05-09 03:33:19,2984.78,2023-06-18 04:46:38,2023-02-19 17:29:56,2984.78,Net 60,Paid
CUST084,2023-04-24 10:03:27,918.62,2023-04-19 13:00:14,2023-03-05 22:57:59,918.62,Net 90,Paid
CUST079,2023-08-21 17:10:44,9273.25,2023-02-06 22:48:56,2023-03-20 13:36:14,2255.23,Net 90,Outstanding
CUST014,2023-03-03 21:30:13,8006.49,2023-08-23 20:23:23,2023-11-27 06:01:07,8144.91,Net 90,Outstanding
CUST025,2023-07-13 04:34:09,5144.29,2023-01-09 16:16:03,2023-06-07 08:53:55,5144.29,Net 30,Paid
CUST053,2023-04-20 23:55:22,5333.55,2023-07-13 05:27:09,2023-05-28 12:34:53,5333.55,Net 30,Paid
CUST026,2023-09-29 06:20:13,9891.7,2023-04-20 22:22:57,2023-10-20 19:22:20,9891.7,Net 60,Paid
CUST028,2023-10-30 00:08:36,4159.03,2023-11-12 21:41:47,,4159.03,Net 30,Paid
CUST094,2023-10-11 02:54:47,6569.86,2023-02-03 04:46:21,,9177.86,Net 90,Outstanding
CUST075,2023-07-14 19:18:42,6210.34,2023-01-17 07:44:00,,6210.34,Net 90,Paid
CUST089,2023-12-22 05:27:55,9978.64,2023-07-03 01:20:53,,9458.72,Net 60,Outstanding
CUST054,2023-02-11 18:30:27,4345.58,2023-10-13 00:42:33,2023-05-17 02:27:17,5069.52,Net 60,Outstanding
CUST077,2023-01-07 03:25:50,6571.37,2023-09-04 03:43:36,2023-11-27 11:26:36,2425.29,Net 30,Outstanding
CUST038,2023-03-24 10:47:03,6234.3,2023-06-21 08:31:43,2023-06-03 09:31:44,6234.3,Net 90,Paid
CUST048,2023-07-02 02:09:22,2862.48,2023-03-04 04:31:46,2023-07-24 15:31:07,3694.48,Net 60,Outstanding
CUST006,2023-08-23 06:41:48,1924.88,2023-12-04 14:09:09,2023-08-23 16:51:08,4397.69,Net 90,Outstanding
CUST092,2023-12-17 12:19:16,1425.24,2023-11-26 21:42:14,2023-01-03 10:10:16,1425.24,Net 60,Paid
CUST089,2023-03-19 01:56:20,7194.7,2023-05-30 07:25:37,2023-01-13 02:52:18,2881.9,Net 60,Outstanding
CUST076,2023-11-09 19:59:29,6123.66,2023-12-29 22:52:22,,3582.87,Net 90,Outstanding
CUST001,2023-04-04 01:23:08,1713.03,2023-12-15 13:30:24,2023-01-30 02:48:02,1713.03,Net 30,Paid
CUST022,2023-02-07 15:35:30,7665.8,2023-04-15 13:43:15,2023-06-02 18:48:59,7665.8,Net 90,Paid
CUST087,2023-09-03 09:04:38,4890.36,2023-12-14 17:26:40,2023-09-15 08:45:16,9121.06,Net 30,Outstanding
CUST003,2023-07-12 01:11:53,5520.77,2023-08-20 22:47:58,2023-08-02 00:48:34,5520.77,Net 60,Paid
CUST064,2023-01-14 16:09:48,6125.44,2023-02-21 02:11:24,2023-10-10 16:15:42,3897.64,Net 90,Outstanding
CUST078,2023-11-02 10:14:47,662.82,2023-07-27 18:48:20,2023-11-22 04:57:41,662.82,Net 90,Paid
CUST063,2023-06-03 12:44:47,5243.24,2023-08-16 17:55:18,2023-09-03 16:37:37,2521.57,Net 60,Outstanding
CUST077,2023-02-02 02:44:09,7723.87,2023-01-12 20:57:00,2023-03-05 17:54:25,8787.5,Net 60,Outstanding
CUST031,2023-04-23 13:39:23,7369.84,2023-07-17 21:41:28,2023-10-30 13:10:58,1423.79,Net 90,Outstanding
CUST042,2023-02-09 12:55:06,3886.02,2023-10-04 15:37:08,2023-01-19 02:34:55,862.29,Net 30,Outstanding
CUST026,2023-12-31 01:47:16,6644.99,2023-04-13 13:42:39,2023-08-10 04:37:46,5535.23,Net 30,Outstanding
CUST056,2023-02-25 14:23:07,4995.15,2023-11-01 10:20:38,2023-03-04 03:35:22,4995.15,Net 60,Paid
CUST027,2023-03-26 06:48:26,4843.23,2023-11-10 22:18:00,2023-02-28 06:55:51,4843.23,Net 60,Paid
CUST082,2023-10-20 08:45:55,3475.05,2023-08-28 00:18:05,2023-10-23 09:06:03,3475.05,Net 60,Paid
CUST059,2023-05-23 14:04:49,6987.89,2023-10-21 01:24:09,2023-01-31 17:54:59,6597.23,Net 30,Outstanding
CUST030,2023-05-11 15:06:03,5788.94,2023-07-14 07:14:20,2023-06-06 18:43:33,5788.94,Net 90,Paid
CUST004,2023-11-08 18:10:04,9079.06,2023-04-27 05:43:50,2023-11-05 21:37:52,9079.06,Net 30,Paid
CUST071,2023-11-27 00:35:38,2257.52,2023-10-24 08:39:59,2023-07-30 13:24:43,2257.52,Net 60,Paid
CUST055,2023-08-10 22:03:04,7805.66,2023-06-28 10:27:30,,7805.66,Net 60,Paid
CUST028,2023-02-08 10:17:19,3708.25,2023-04-17 19:34:02,2023-02-03 23:32:35,3708.25,Net 30,Paid
CUST021,2023-02-24 09:10:13,8972.85,2023-08-25 16:28:26,2023-01-25 13:52:09,4599.27,Net 60,Outstanding
CUST049,2023-04-12 22:14:45,9997.67,2023-09-16 18:41:56,2023-03-10 16:04:35,9997.67,Net 30,Paid
CUST096,2023-10-10 09:34:24,7126.28,2023-07-18 19:29:54,2023-12-09 11:21:41,1658.97,Net 90,Outstanding
CUST030,2023-05-03 08:05:48,5619.32,2023-04-08 12:08:25,2023-09-22 12:42:04,3497.68,Net 30,Outstanding
CUST006,2023-07-20 23:59:58,5356.37,2023-04-28 07:00:30,2023-11-15 05:03:23,6669.0,Net 30,Outstanding
CUST049,2023-03-20 02:45:31,2184.1,2023-12-09 20:58:13,2023-07-01 12:24:35,2184.1,Net 90,Paid
CUST088,2023-06-07 23:47:37,2424.03,2023-08-18 22:55:47,2023-07-18 14:52:05,2424.03,Net 90,Paid
CUST083,2023-03-12 18:51:18,8061.74,2023-06-14 19:11:33,2023-09-29 22:39:47,8061.74,Net 90,Paid
CUST036,2023-01-22 04:50:53,9671.26,2023-12-20 14:24:21,2023-03-29 13:38:31,9671.26,Net 90,Paid
CUST095,2023-01-25 00:42:29,1887.42,2023-05-08 00:58:00,,6573.44,Net 60,Outstanding
CUST065,2023-03-13 17:12:54,4608.4,2023-01-19 03:53:26,2023-12-12 13:24:04,4608.4,Net 60,Paid
CUST004,2023-06-27 17:48:55,9111.4,2023-10-10 22:01:58,2023-09-19 08:00:36,4407.03,Net 90,Outstanding
CUST074,2023-08-16 04:16:08,8320.49,2023-08-30 04:09:23,2023-07-10 18:30:46,3775.24,Net 60,Outstanding
CUST004,2023-01-28 12:04:39,840.38,2023-03-12 11:00:57,2023-10-14 02:50:20,840.38,Net 90,Paid
CUST073,2023-06-10 16:36:08,2464.22,2023-06-03 22:42:11,2023-09-08 17:24:08,3933.72,Net 30,Outstanding
CUST076,2023-09-16 15:27:07,1554.07,2023-01-09 09:39:06,2023-05-17 13:22:18,1554.07,Net 30,Paid
CUST094,2023-09-25 03:17:45,7573.93,2023-04-28 21:59:08,2023-01-30 05:56:09,7573.93,Net 30,Paid
CUST057,2023-09-24 04:06:35,8611.03,2023-06-17 14:59:01,2023-12-06 03:31:32,3834.02,Net 60,Outstanding
CUST100,2023-03-11 00:15:44,5965.57,2023-03-01 03:55:36,2023-10-18 19:32:16,5965.57,Net 60,Paid
CUST060,2023-02-28 00:29:50,2791.77,2023-12-07 03:46:49,2023-11-25 21:22:59,6051.42,Net 90,Outstanding
CUST095,2023-12-20 19:21:14,9888.57,2023-08-21 19:06:31,2023-06-01 00:12:14,6793.48,Net 90,Outstanding
CUST096,2023-09-27 20:23:05,3766.49,2023-06-16 14:19:08,2023-10-02 06:04:58,3766.49,Net 30,Paid
CUST064,2023-11-21 18:24:39,7463.41,2023-10-24 05:53:07,,7463.41,Net 30,Paid
CUST004,2023-09-08 21:59:09,8729.25,2023-12-31 07:50:34,2023-02-11 16:47:20,9592.94,Net 30,Outstanding
CUST018,2023-03-26 08:38:31,4425.84,2023-04-24 00:30:31,2023-07-25 07:08:51,4425.84,Net 90,Paid
CUST022,2023-08-27 08:19:20,1756.9,2023-08-12 23:00:07,2023-04-02 22:18:00,1756.9,Net 60,Paid
CUST018,2023-08-07 07:41:38,6195.44,2023-07-17 18:16:11,,5846.93,Net 30,Outstanding
CUST096,2023-11-13 17:44:49,8663.12,2023-10-21 12:46:20,,6800.48,Net 30,Outstanding
CUST068,2023-04-18 02:01:41,8273.74,2023-09-09 04:53:34,2023-04-10 10:24:47,2370.12,Net 90,Outstanding
CUST035,2023-04-17 09:21:50,8463.86,2023-12-14 01:55:16,2023-03-04 19:52:22,8463.86,Net 90,Paid
CUST025,2023-10-30 12:26:04,2583.95,2023-02-24 10:33:21,2023-02-27 20:40:56,2583.95,Net 90,Paid
CUST095,2023-06-21 13:34:04,3484.39,2023-01-27 10:03:06,2023-11-07 13:07:22,3484.39,Net 60,Paid
CUST035,2023-03-13 03:13:32,8434.59,2023-04-30 02:58:32,2023-09-25 04:23:02,9965.85,Net 30,Outstanding
CUST005,2023-02-03 20:42:09,4007.46,2023-09-18 19:35:58,2023-04-26 21:18:54,4007.46,Net 30,Paid
CUST018,2023-10-13 19:18:26,5441.01,2023-09-17 23:35:10,2023-12-29 20:34:49,939.93,Net 30,Outstanding
CUST068,2023-02-05 23:05:13,4714.92,2023-08-16 17:09:50,2023-10-26 08:06:30,4968.38,Net 30,Outstanding
CUST068,2023-01-12 12:07:37,3233.22,2023-05-08 09:14:58,2023-01-10 16:59:21,3233.22,Net 30,Paid
CUST031,2023-02-04 22:36:19,808.88,2023-03-10 08:25:13,2023-07-20 07:42:00,808.88,Net 60,Paid
CUST052,2023-10-25 05:23:34,6477.6,2023-12-16 18:19:07,2023-11-26 05:33:43,9696.75,Net 90,Outstanding
CUST008,2023-02-22 18:27:16,2266.06,2023-05-17 04:49:48,,2266.06,Net 30,Paid
CUST079,2023-12-26 22:51:07,4951.06,2023-11-06 12:18:01,2023-05-06 03:03:22,6645.88,Net 60,Outstanding
CUST015,2023-11-12 14:35:13,5354.0,2023-12-18 04:37:41,2023-03-24 18:49:53,9632.15,Net 90,Outstanding
CUST004,2023-02-18 07:49:24,5544.03,2023-08-30 19:46:24,,5544.03,Net 90,Paid
CUST075,2023-06-06 07:05:28,7115.97,2023-08-31 04:11:26,2023-08-08 05:31:57,7115.97,Net 30,Paid
CUST042,2023-05-31 20:54:53,6282.45,2023-05-16 06:01:00,2023-03-05 18:06:11,898.38,Net 60,Outstanding
CUST057,2023-09-09 19:49:24,5513.81,2023-01-01 10:17:47,2023-07-04 01:54:22,7122.09,Net 60,Outstanding
CUST056,2023-06-27 23:13:12,9134.91,2023-10-09 08:35:53,2023-08-27 19:38:12,9134.91,Net 30,Paid
CUST082,2023-09-30 09:49:53,6947.83,2023-11-03 23:29:42,,9452.65,Net 90,Outstanding
CUST073,2023-05-21 19:54:11,5346.49,2023-11-08 07:26:33,2023-04-22 00:14:51,5346.49,Net 90,Paid
CUST004,2023-05-29 16:37:55,9401.4,2023-09-23 14:08:53,2023-06-09 20:17:19,4652.0,Net 60,Outstanding
CUST091,2023-01-11 15:52:59,9652.3,2023-04-20 12:45:32,2023-09-07 23:58:20,9652.3,Net 90,Paid
CUST002,2023-02-01 11:07:43,2836.68,2023-11-03 09:50:53,2023-03-28 15:05:25,2836.68,Net 60,Paid
CUST075,2023-02-25 09:48:13,3646.65,2023-06-25 18:50:39,2023-12-13 19:03:00,2310.59,Net 60,Outstanding
CUST024,2023-08-11 02:02:22,2497.49,2023-07-26 11:29:14,2023-06-09 12:18:20,7891.77,Net 60,Outstanding
CUST005,2023-10-11 08:20:53,9175.73,2023-09-04 04:52:32,2023-04-02 01:58:24,9175.73,Net 60,Paid
CUST031,2023-09-16 14:55:31,6545.46,2023-08-07 10:45:16,2023-12-29 08:33:36,1041.92,Net 30,Outstanding
CUST040,2023-04-15 21:07:10,6867.11,2023-12-12 15:55:06,2023-09-16 06:56:21,6867.11,Net 30,Paid
CUST062,2023-04-29 09:06:27,6710.85,2023-12-11 21:57:42,,7276.75,Net 60,Outstanding
CUST024,2023-03-07 06:03:15,8138.34,2023-08-23 07:15:21,,1621.72,Net 90,Outstanding
CUST098,2023-12-29 17:28:24,1287.86,2023-10-15 05:18:40,,1287.86,Net 60,Paid
CUST099,2023-07-07 05:25:53,4690.79,2023-10-22 16:22:20,2023-01-28 08:49:10,4690.79,Net 30,Paid
CUST065,2023-09-24 20:01:58,9024.18,2023-09-17 06:58:38,,9024.18,Net 30,Paid
CUST011,2023-12-12 18:50:36,8392.37,2023-12-18 06:02:11,,8392.37,Net 90,Paid
CUST028,2023-02-01 22:12:40,2982.96,2023-02-27 23:22:02,,2982.96,Net 60,Paid
CUST050,2023-10-19 12:06:49,3500.31,2023-04-16 21:24:04,2023-11-26 04:17:09,3500.31,Net 60,Paid
CUST037,2023-11-01 22:49:01,5543.79,2023-03-11 17:27:01,2023-11-22 18:33:15,5933.63,Net 60,Outstanding
CUST059,2023-03-30 23:53:35,4206.77,2023-01-04 21:59:27,2023-12-09 22:23:06,1022.83,Net 60,Outstanding
CUST043,2023-11-25 22:32:06,8983.19,2023-11-28 14:47:31,2023-03-19 18:59:26,3824.83,Net 90,Outstanding
CUST068,2023-01-22 05:13:11,3806.26,2023-11-17 22:55:01,2023-04-22 05:20:43,5979.66,Net 30,Outstanding
CUST094,2023-03-17 14:21:51,4038.02,2023-11-09 11:12:58,2023-05-20 11:33:23,4038.02,Net 30,Paid
CUST008,2023-02-28 08:59:39,4096.89,2023-08-03 03:45:38,2023-04-28 21:47:04,4761.01,Net 60,Outstanding
CUST007,2023-04-04 09:28:08,4453.41,2023-01-20 16:25:39,2023-08-29 21:09:42,9539.24,Net 60,Outstanding
CUST079,2023-05-28 01:50:05,5740.38,2023-12-31 22:22:58,2023-07-05 13:31:57,5740.38,Net 60,Paid
CUST091,2023-03-23 05:37:41,8098.29,2023-09-25 02:35:06,2023-12-29 01:17:41,2178.92,Net 60,Outstanding
CUST037,2023-05-22 10:41:20,3564.92,2023-06-10 07:14:00,2023-07-15 17:15:07,3564.92,Net 60,Paid
CUST035,2023-06-16 16:13:14,2956.46,2023-01-15 16:09:26,2023-09-13 18:13:31,2956.46,Net 60,Paid
CUST009,2023-10-10 09:40:19,2234.31,2023-02-26 09:15:12,,2234.31,Net 30,Paid
CUST068,2023-10-23 17:57:38,4182.17,2023-06-12 22:22:30,,4182.17,Net 60,Paid
CUST046,2023-04-25 09:07:56,2605.54,2023-11-23 11:40:37,2023-09-25 22:34:25,2605.54,Net 30,Paid
CUST045,2023-09-30 19:44:48,938.86,2023-07-05 10:31:24,2023-05-25 15:41:34,1432.72,Net 90,Outstanding
CUST093,2023-09-08 07:49:51,2457.55,2023-01-18 13:55:48,2023-04-23 20:29:28,2002.77,Net 60,Outstanding
CUST078,2023-07-09 13:14:58,8630.42,2023-08-14 19:53:15,2023-07-12 02:23:35,8630.42,Net 60,Paid
CUST091,2023-07-12 00:34:15,1491.68,2023-06-30 17:52:47,2023-08-24 06:36:45,3251.28,Net 60,Outstanding
CUST077,2023-01-25 13:19:23,8131.27,2023-08-02 14:02:58,2023-01-24 12:20:33,7322.68,Net 30,Outstanding
CUST050,2023-09-11 17:52:41,3830.37,2023-01-27 00:22:14,2023-06-08 20:17:22,3830.37,Net 30,Paid
CUST071,2023-01-15 15:28:14,1223.65,2023-08-21 09:15:56,2023-08-06 19:19:26,1223.65,Net 90,Paid
CUST004,2023-12-05 14:27:39,6306.57,2023-07-18 22:57:06,,9767.71,Net 30,Outstanding
CUST041,2023-09-22 07:01:51,855.24,2023-01-23 23:42:33,,855.24,Net 90,Paid
CUST027,2023-01-17 08:53:35,6642.06,2023-10-24 12:59:06,,3902.74,Net 90,Outstanding
CUST074,2023-07-10 14:25:28,5022.1,2023-12-12 22:49:28,2023-09-08 13:02:50,5022.1,Net 90,Paid
CUST021,2023-02-19 10:02:07,516.93,2023-09-10 01:13:13,2023-07-22 15:06:52,2520.29,Net 60,Outstanding
CUST066,2023-11-14 23:16:56,2130.75,2023-07-08 00:21:13,2023-03-07 09:59:17,2130.75,Net 30,Paid
CUST044,2023-07-15 21:20:36,1021.8,2023-11-28 07:37:04,2023-03-25 13:19:12,1021.8,Net 30,Paid
CUST087,2023-11-14 09:48:00,8027.62,2023-01-03 06:52:43,2023-11-15 17:27:07,1684.69,Net 60,Outstanding
CUST061,2023-01-20 18:28:25,4805.78,2023-02-15 08:55:54,,9656.51,Net 30,Outstanding
CUST096,2023-12-28 15:40:15,8524.91,2023-02-03 01:55:21,2023-11-01 20:02:49,8524.91,Net 90,Paid
CUST074,2023-12-11 08:50:30,2771.39,2023-01-01 14:47:42,2023-07-29 22:11:20,1857.46,Net 60,Outstanding
CUST043,2023-07-01 17:47:13,2775.23,2023-06-04 01:22:16,2023-07-16 02:50:52,1280.78,Net 90,Outstanding
CUST063,2023-12-07 12:58:58,800.05,2023-06-08 21:56:54,2023-05-14 13:42:36,5054.56,Net 60,Outstanding
CUST044,2023-02-10 19:52:18,1492.37,2023-10-08 15:26:40,2023-01-31 17:37:01,1492.37,Net 90,Paid
CUST035,2023-07-10 12:32:04,7316.83,2023-05-27 18:07:46,2023-04-05 16:43:49,3225.7,Net 90,Outstanding
CUST036,2023-01-09 04:30:37,1165.67,2023-03-19 19:52:06,2023-02-17 09:36:14,1165.67,Net 90,Paid
CUST032,2023-03-06 16:09:29,8112.11,2023-03-27 15:58:51,2023-07-08 08:30:19,9489.51,Net 60,Outstanding
CUST049,2023-04-25 20:38:40,9014.86,2023-12-08 18:02:25,2023-02-05 07:26:44,654.81,Net 90,Outstanding
CUST008,2023-02-12 14:11:40,5144.06,2023-11-05 13:01:52,,5144.06,Net 30,Paid
CUST072,2023-10-06 22:06:53,929.0,2023-02-06 16:55:22,2023-10-09 17:03:51,1435.71,Net 90,Outstanding
CUST034,2023-10-28 11:46:14,6852.18,2023-10-02 05:30:24,,6852.18,Net 60,Paid
CUST091,2023-11-15 01:12:47,8732.93,2023-05-21 16:30:20,2023-07-11 00:09:48,9203.77,Net 30,Outstanding
CUST056,2023-07-09 09:54:52,3868.08,2023-03-24 04:52:35,2023-11-20 20:19:08,3868.08,Net 30,Paid
CUST027,2023-09-22 16:26:04,8335.77,2023-02-11 21:26:41,2023-01-18 21:07:04,9482.32,Net 90,Outstanding
CUST075,2023-03-21 17:44:50,7249.79,2023-11-26 10:44:11,2023-06-14 07:13:40,7249.79,Net 90,Paid
CUST004,2023-05-25 05:15:27,6247.05,2023-01-04 01:14:42,2023-12-16 19:06:33,5185.23,Net 90,Outstanding
CUST033,2023-02-08 08:09:17,978.29,2023-09-25 17:15:07,2023-09-04 19:01:41,6238.5,Net 90,Outstanding
CUST039,2023-07-01 08:49:12,4887.04,2023-05-22 09:44:23,,6566.94,Net 30,Outstanding
CUST031,2023-04-10 08:45:52,2002.92,2023-09-12 22:10:19,2023-11-10 14:56:27,1754.05,Net 90,Outstanding
CUST059,2023-03-12 18:52:39,7939.65,2023-12-22 05:22:01,2023-08-11 04:40:56,7939.65,Net 60,Paid
CUST030,2023-01-05 22:28:34,8889.84,2023-04-02 15:04:35,2023-11-18 06:02:24,2754.85,Net 90,Outstanding
CUST029,2023-08-18 03:22:11,556.97,2023-04-04 20:13:50,,556.97,Net 30,Paid
CUST057,2023-02-03 01:02:12,6195.18,2023-08-21 08:00:18,2023-10-20 02:04:28,6195.18,Net 60,Paid
CUST065,2023-09-26 05:15:23,9824.49,2023-07-27 06:09:54,,1977.88,Net 90,Outstanding
CUST057,2023-04-30 19:04:03,8752.08,2023-10-06 22:29:30,2023-11-19 14:23:22,9320.98,Net 30,Outstanding
CUST035,2023-08-01 05:07:21,1866.75,2023-04-16 06:58:27,,1866.75,Net 30,Paid
CUST100,2023-07-03 17:15:50,1890.96,2023-04-02 17:30:30,2023-09-13 10:40:25,2704.55,Net 60,Outstanding
CUST069,2023-10-12 16:40:59,3354.99,2023-01-29 17:26:01,,6716.01,Net 60,Outstanding
CUST057,2023-05-28 22:17:36,7988.84,2023-10-20 07:02:08,,6000.8,Net 60,Outstanding
CUST019,2023-02-03 23:58:34,2191.36,2023-06-17 04:47:36,,7620.76,Net 60,Outstanding
CUST047,2023-03-28 19:42:34,2269.35,2023-06-09 10:11:02,2023-12-28 14:22:20,2269.35,Net 90,Paid
CUST052,2023-03-22 06:51:28,4736.71,2023-01-20 04:45:04,,4736.71,Net 60,Paid
CUST008,2023-12-14 08:45:00,5685.73,2023-05-27 04:57:33,,4048.64,Net 60,Outstanding
CUST095,2023-04-08 08:23:28,1424.93,2023-07-14 06:48:28,2023-07-13 10:08:54,8868.95,Net 90,Outstanding
CUST098,2023-07-25 03:35:05,3397.74,2023-01-30 21:25:19,2023-09-24 15:34:51,3397.74,Net 30,Paid
CUST032,2023-10-11 00:52:32,2185.51,2023-11-15 00:53:59,2023-02-19 01:50:21,4243.47,Net 90,Outstanding
CUST058,2023-11-03 13:19:43,1738.25,2023-01-06 09:45:46,2023-12-27 04:56:23,1738.25,Net 60,Paid
CUST093,2023-12-19 08:46:51,3574.79,2023-08-24 19:30:36,,6863.38,Net 90,Outstanding
CUST047,2023-02-09 01:25:40,9957.44,2023-03-31 21:56:54,2023-11-20 09:45:38,7227.67,Net 30,Outstanding
CUST001,2023-06-24 06:42:52,2646.05,2023-03-29 03:07:32,,2646.05,Net 90,Paid
CUST094,2023-10-01 08:41:03,7454.06,2023-05-18 03:43:27,,3128.72,Net 60,Outstanding
CUST039,2023-10-22 11:57:37,9471.36,2023-06-08 06:44:33,2023-01-20 01:30:18,918.53,Net 30,Outstanding
CUST074,2023-03-10 07:07:27,5714.06,2023-08-30 13:23:57,,5714.06,Net 30,Paid
CUST047,2023-07-29 14:21:31,5824.33,2023-04-08 02:34:46,2023-04-17 19:52:16,5824.33,Net 30,Paid
CUST043,2023-03-11 11:54:11,4052.31,2023-05-14 21:41:56,2023-01-13 17:46:23,7216.99,Net 90,Outstanding
CUST081,2023-02-17 22:26:59,5698.88,2023-05-30 21:33:33,2023-03-21 02:42:38,3744.02,Net 30,Outstanding
CUST100,2023-09-02 05:49:38,3781.73,2023-02-20 01:40:57,2023-10-04 18:36:57,3781.73,Net 60,Paid
CUST083,2023-01-14 06:43:22,2096.77,2023-05-31 07:39:37,2023-09-15 14:06:18,5765.08,Net 90,Outstanding
CUST084,2023-10-23 11:48:29,8764.51,2023-08-04 19:58:58,2023-11-20 15:00:52,8764.51,Net 60,Paid
CUST067,2023-09-24 06:59:33,2954.33,2023-03-16 00:45:01,2023-11-23 05:52:52,2954.33,Net 90,Paid
CUST012,2023-09-04 15:40:07,7508.17,2023-04-05 21:21:43,2023-09-04 10:30:17,7508.17,Net 60,Paid
CUST072,2023-12-18 08:15:27,5250.43,2023-08-21 13:30:38,2023-07-28 12:21:16,5250.43,Net 30,Paid
CUST047,2023-08-31 04:35:50,2425.45,2023-04-29 06:24:59,2023-04-12 07:00:52,2425.45,Net 60,Paid
CUST030,2023-10-22 12:25:35,4140.51,2023-12-12 19:10:36,2023-06-05 05:24:10,4140.51,Net 30,Paid
CUST078,2023-10-06 10:15:34,1786.55,2023-11-28 13:07:12,2023-07-01 06:50:08,8244.63,Net 90,Outstanding
CUST026,2023-06-03 06:39:04,3574.79,2023-06-27 17:05:42,2023-11-27 03:59:32,3574.79,Net 30,Paid
CUST092,2023-07-12 05:41:05,9960.28,2023-12-28 06:10:10,2023-05-12 08:08:20,6279.38,Net 90,Outstanding
CUST033,2023-04-26 15:21:10,7954.95,2023-02-20 10:27:26,2023-09-01 19:17:20,7954.95,Net 60,Paid
CUST014,2023-10-12 19:08:04,9946.6,2023-11-01 22:50:15,2023-05-23 14:03:55,9946.6,Net 90,Paid
CUST052,2023-12-14 16:13:47,9965.55,2023-06-08 03:29:10,,9965.55,Net 90,Paid
CUST014,2023-09-25 10:57:05,3582.09,2023-01-09 06:58:41,2023-04-21 06:58:05,4613.15,Net 30,Outstanding
CUST019,2023-11-15 18:19:08,5267.36,2023-01-22 22:25:15,2023-01-27 21:47:02,5267.36,Net 30,Paid
CUST076,2023-05-24 14:23:00,4936.25,2023-04-12 01:15:27,2023-01-12 17:37:36,4183.63,Net 60,Outstanding
CUST027,2023-02-19 16:12:20,8700.81,2023-02-17 19:37:19,2023-04-30 06:56:39,1096.43,Net 60,Outstanding
